id,label,aliases,tier,kind,plain_definition,formal_definition,why_it_matters,difficulty,paper_ref,confidence
fitness_function,"Fitness function (GA)","F = gamma_comp D + gamma_pop P;harshness","algorithm","metric","The GA's score for a map, combining a compactness reward (built from counting same-constituency neighbour connections) and a population-balance reward, each with its own weight.","F = gamma_comp D + gamma_pop P (Eq. 15), with D = kappa arcsin(E/E_tot) for same-allocation adjacent edge count E, kappa = 50/3 (Eq. 16), and P = (1 - (2/pi) arctan((1/Q) sum |P_i/P_avg - 1|))^eta with harshness eta = 5 (Eq. 17); maximised rather than minimised.","A second concrete codification of the same rules - comparing it with the Hamiltonian teaches that the encoding, not just the algorithm, is a design choice.",4,"S4.1.2, Eqs 15-17","high"
saga,"SAGA (simulated annealing genetic algorithm)","SA-GA hybrid","algorithm","method","The paper's custom hybrid: a genetic algorithm whose mutation and selection run under a slowly cooling temperature, combining evolution's breadth with annealing's discipline.","A custom method combining the genetic algorithm layout with a simulated-annealing control regime; temperature decreases geometrically, T_k = 0.99^k T_0, with an initial population of size 2 and mutation by random ED reassignment (S4.1.2; the draft section is incomplete).","It demonstrates that the framework's components (encoding, fitness, cooling) compose freely - and its small-scale results are half of the paper's proof of concept.",3,"S4.1.2","medium"
hard_vs_soft_constraints,"Hard vs soft constraints","unbreakable vs breakable rules","decision_analysis","principle","Some rules may never be broken in a final map (seat total, 3-5 seats, contiguity); others (county lines, geography, continuity) can be - and in practice always are - bent to some degree.","Of the terms of reference, items (i) total seats, (ii) seat range and (iv) contiguity cannot be broken, whereas (iii) county boundaries, (v) geographic considerations and (vi) continuity can and will be transgressed to some extent (S1).","This split structures the whole optimisation: hard constraints get prohibitive energy weights, soft ones get finite weights that encode how much bending is tolerable.",3,"S1","high"
constraint_hierarchy,"The constraint hierarchy problem","ranking the rules;relative importance of constraints","decision_analysis","principle","The law lists the soft objectives but never ranks them; it is only generally understood that equal representation trumps the rest. Yet any concrete map implicitly ranks them anyway.","No statutory statement of relative importance exists among county boundaries, geographic considerations and continuity (S1); translating any assumed hierarchy into an algorithm is a separate, additional problem (S2.8, S3.3).","This is the gap the coupling constants fill - and the reason the paper insists the filling must be explicit, debatable and auditable rather than hidden in a committee room.",3,"S1, S2.8, S3.3","high"
variance_tradeoff,"The variance vs county trade-off","Laois-Offaly problem;variance trade-off","decision_analysis","principle","Tighter fairness bounds leave less freedom to respect county lines. Example: Laois and Offaly together deserve 6 seats, but neither county alone can form a valid 3-seat constituency within ±5 percent - so something must give.","Increasing the acceptable variance threshold above ±5 percent facilitates smaller population transfers and fewer county-boundary disruptions; the tighter the variance bound, the less mathematical flexibility remains for the terms of reference (App C.2).","It is the cleanest proof that the objectives genuinely conflict - no cleverness dissolves the tension, so a value judgement about the trade-off is unavoidable.",3,"App C.2","high"
ballot_vs_term,"Proportionality vs local access","ballot vs term representation;magnitude dilemma","decision_analysis","principle","Bigger constituencies give smaller parties a fairer shot at the ballot box, but let elected TDs cluster in one corner of a large area, leaving parts of it without a nearby representative during the term.","Larger seat magnitude yields greater resolution of the electorate's political distribution, while demonstrably enabling disproportionate geographical clustering of representatives within constituencies; the paper poses this as an open, perhaps unresolvable tension of PR with constituency-based systems (S3.7).","It reframes seat magnitude - normally a technical parameter - as a genuine democratic dilemma the reader can hold an informed opinion on.",3,"S3.7","high"
boundary_selection,"Choosing among valid boundaries","process A and B;selecting the final map","decision_analysis","method","Even after invalid maps are discarded, many valid ones remain. Two further steps happen: sorting boundaries into acceptable and not (which encodes interpretation), and then picking the single map to recommend.","Process A: sorting the solution space of boundaries into acceptable and unacceptable, dependent on one's interpretation of the rule set; Process B: selecting from the acceptable set the boundary to be recommended or implemented (S3.2, S3.6). No auditable trail of these steps currently exists.","The final choice is where discretion lives today; making A and B explicit is what would let the public scrutinise why this map rather than that one.",3,"S3.2, S3.6","high"
parameter_space,"Exploring the parameter space","coupling-constant sweeps;parameter exploration","decision_analysis","method","Since no one can derive the right weights from first principles, you run the algorithm across many weight combinations and study how the resulting maps change.","Determining coupling constants reduces to investigating the behaviour and results of the algorithms for a variety of values of each constant (S2.8); the dedicated sections (S4.2.2, S5.2.2) are placeholders in the draft.","Weight sweeps turn a hidden value judgement into an experiment whose results anyone can inspect: 'if you care more about counties, here is what your map looks like'.",3,"S2.8, S4.2.2, S5.2.2","medium"
pareto_frontier,"Pareto frontier","Pareto optimality;non-dominated maps","decision_analysis","definition","The shortlist of maps you cannot improve in one respect without worsening another. Maps not on this frontier are simply beaten; maps on it differ only in values, not in quality.","A configuration is Pareto-optimal if no other configuration is at least as good on every objective and strictly better on one; the Pareto frontier is the set of such non-dominated configurations. Standard multi-objective optimisation theory; the paper does not use the term.","It gives the commission and public the honest menu: algorithms can compute the frontier, but choosing a point on it is irreducibly a political decision.",4,"external","medium"
mcda,"Multi-criteria decision analysis (MCDA)","MCDA;multi-criteria decision making","decision_analysis","method","A family of structured methods for choosing among options that are each scored on several criteria - making the weighing-up explicit instead of intuitive.","Formal methods (weighted scoring, outranking, and related techniques) for ranking or selecting alternatives evaluated against multiple, conflicting criteria. Standard decision-analysis material; the paper describes the selection problem (S3.2, S3.6) but does not name MCDA.","It is the natural formal home for the paper's process B: once valid maps and their scores exist, MCDA is how a final recommendation can be made auditable.",3,"external","medium"
transparency,"Transparency and auditability","auditable trail;open process","meaning","principle","Today's review reports state outcomes but not the search path - which options were weighed and why. An algorithmic pipeline leaves a trail anyone can check and re-run.","The paper argues computational methods can provide an auditable trail for decisions and notes there is yet to be a trail outlining the steps or choices made between review inputs and recommended boundaries (S1.1, S3.2).","Trust in boundaries should not require trusting the people who drew them; it can rest on being able to check the process itself.",2,"S1.1, S3.2","high"
interpretability,"Interpretability (no black box)","minimal tunable parameters;no deep learning","meaning","principle","The framework deliberately uses a small number of dials, each of which can be debated in plain terms - and deliberately avoids black-box AI whose reasoning cannot be examined.","The algorithmic solution must be interpretable and open to scrutiny, using a minimal number of tunable parameters such that each parameter's value can be subject to legal debate; deep-learning approaches with thousands of non-linearly interdependent parameters are deliberately avoided (S1).","For a democratic instrument, being explainable is not a nice-to-have: a map is only as legitimate as the reasons that can be given for it.",2,"S1","high"
decision_support,"Decision support, not decision making","human in the loop;algorithmic aid","meaning","principle","The algorithm does not draw Ireland's boundaries; it gives the human commission speed, options and evidence. The CSO's algorithm-assisted definition of urban areas, with humans resolving edge cases, is the precedent.","The framework aims to improve transparency, turnaround times and efficiency as decision support for the Electoral Commission, which faces reviews of EU, local (LEA) and Dail boundaries; the most recent census used algorithms with a human in the loop as precedent (S1.1, S5.2.3, S6).","It answers the reader's most natural objection - 'should a computer decide this?' - directly: no, and the framework is designed so it cannot.",2,"S1.1, S5.2.3, S6","high"
rule_design_testing,"Testing the rules themselves","rule-set experiments;what-if analysis;gerrymander resilience","meaning","principle","Beyond drawing maps, the framework can answer what-if questions about the rules: what would allowing 6-seat constituencies do? Would a proposed rule set resist deliberate manipulation?","Use cases include assessing existing legal rules in achieving fair representation and testing the resilience of rules against gerrymandering (S1); the 2023 report itself flags the 3-5 seat limit as constraining and raises 6-seat constituencies as a research question (S3.3).","Rules are designed systems, and designed systems behave in ways their designers do not expect; simulation lets the Oireachtas test electoral law before enacting it.",3,"S1, S3.3, S6","high"
normative_vs_math,"Normative choices vs mathematics","values in, maps out;fairness is normative","meaning","principle","Mathematics never decides what fair means - people do. What the framework does is take a chosen definition of fairness and expose, precisely, what follows from it.","The paper makes no assertions about the correctness or morality of any districting solution and does not prescribe a definition of representation, which is inherently a normative concept; it provides tools to assess whether proposed rule sets lead to systems aligned with one's values (S6.1).","Keeping this boundary sharp is what makes the framework trustworthy: it clarifies that disagreement about maps is disagreement about values, now visible instead of hidden.",3,"S6.1","high"
democratic_legitimacy,"Democratic legitimacy","fair representation;equal vote weight","meaning","principle","The end goal: every vote carrying as near as possible equal weight, produced by a process citizens can understand, check and contest - so that the map itself commands trust.","Equal representation realised through boundaries that respect the Constitution and terms of reference, produced by a transparent, auditable, scrutinisable process; the paper frames Ireland's challenge as refining an already functional and independent system, unlike jurisdictions battling gerrymandering (S1.1, S6).","This is the 'so what' of the entire course: redistricting arithmetic is invisible plumbing, but it determines whether your vote counts the same as your neighbour's.",2,"S1, S1.1, S6","high"
